step,time_s,rx,ry,speed_mps,d1_linear,d2_triangle,d3_diag,dmin,goals
1,1765573552.3385823,nan,nan,nan,nan,nan,nan,nan,0
2,1765573553.3307548,nan,nan,nan,nan,nan,nan,nan,0
3,1765573554.3363323,nan,nan,nan,nan,nan,nan,nan,0
4,1765573555.3298697,-17.793224379646126,-24.974285651926156,nan,10.941503384615322,0.9802282042434989,2.9918658171789563,0.9802282042434989,0
5,1765573556.330275,-18.307894655893364,-24.823433831582193,0.5361051553166508,9.867370153821716,1.5336017889937035,3.1632456479113165,1.5336017889937035,0
6,1765573557.3369596,-18.391013395509415,-24.598578904767557,0.23813399133520338,8.594324707890989,2.5880456474863505,3.551362669828253,2.5880456474863505,0
7,1765573558.3322468,-18.41274527244409,-24.10908509994461,0.4922960812705193,7.174889661239733,3.778949428490975,4.078085388809183,3.778949428490975,0
8,1765573559.3299477,-18.139320981102557,-23.594987249594926,0.5836281947304857,5.690634235243278,5.269222623911133,4.5828703297442175,4.5828703297442175,0
9,1765573560.332583,-17.801042294342814,-23.072797684826988,0.6205498924106507,4.249489431458624,6.621365513653238,3.469918982692899,3.469918982692899,0
10,1765573561.338699,-17.82335191605798,-22.640075774142982,0.4306626338425096,2.874254639752887,7.457831634548317,2.5680600928237047,2.5680600928237047,0
11,1765573562.332899,-18.229682584843783,-22.25420096470053,0.5636296380416812,1.4593119763062659,7.519550788804897,2.0730757632914725,1.4593119763062659,0
12,1765573563.3304594,-18.791195136865895,-22.056050349984925,0.5969057134918376,0.35493160097726084,7.005649049371019,1.7378599543496307,0.35493160097726084,0
13,1765573564.3349297,-19.247852752262943,-22.139836556201907,0.46221415916915815,0.8657666850793467,6.6284981503263625,1.3196856663257341,0.8657666850793467,0
14,1765573565.334167,-19.548233488429275,-22.441193847769306,0.42581837234779385,1.5216699998223802,6.646186538417856,1.209828423493725,1.209828423493725,0
15,1765573566.3388398,-19.51227913314595,-22.97398117062836,0.5315154605065106,1.820938529651647,7.290951565471093,1.906704735338436,1.820938529651647,0
16,1765573567.3316417,-19.419053622227853,-23.38280248129655,0.422356102351356,2.311605440679668,6.87256275040804,2.8913063877636906,2.311605440679668,0
17,1765573568.3324857,-19.154544701294576,-23.814795444811327,0.506112956422671,2.779001020971036,6.341816745581257,4.202759835654947,2.779001020971036,0
18,1765573569.3330913,-18.925960054526918,-24.03353247946331,0.31618935337310483,1.60452664428357,5.700667867339372,5.351821341776277,1.60452664428357,1
19,1765573570.335787,-19.333812526044355,-24.022685961249877,0.40689975347187995,0.811794481113043,4.375507063525937,5.943291873700227,0.811794481113043,1
20,1765573571.3381753,-19.495176380302457,-24.26177911182204,0.2877634897929614,0.9514115610408136,3.452604585285188,6.871384751287529,0.9514115610408136,1
21,1765573572.3387454,-19.538013357690392,-24.57269530945633,0.3136744785924026,2.044788415340658,2.7462442926854416,7.918519752325557,2.044788415340658,1
22,1765573573.332048,-19.61738026561738,-24.817649703419768,0.25922743779673146,3.2078088979704527,2.1853625315410263,8.937688114695924,2.1853625315410263,1
23,1765573574.3329062,-19.34931434684817,-24.451422561647096,0.45346280987882426,3.74286898526895,1.3020539094493118,8.459764364177662,1.3020539094493118,1
24,1765573575.3339672,-18.90177106172491,-23.95438072943787,0.6681301142933549,4.129353002739552,0.575256820801243,7.589171259996698,0.575256820801243,1
25,1765573576.3355482,-18.537721612335666,-23.44873421495837,0.6220818424636817,4.588179342177242,1.021291943637584,6.654413025867768,1.021291943637584,1
26,1765573577.3349915,-18.234404735469823,-22.87283804906981,0.6512523492570594,4.9567631657444196,2.0832124389890714,5.681113929940185,2.0832124389890714,1
27,1765573578.3351462,-17.80911099964666,-22.347207584864627,0.6760330633324679,5.434007468488364,2.7290361623126773,4.8327006667244135,2.7290361623126773,1
28,1765573579.3316529,-17.346635488271605,-21.857821798891596,0.6756969210471224,5.9434652919580095,2.7311748890271175,4.084557603113024,2.7311748890271175,1
29,1765573580.3319957,-16.976690393741954,-21.3319354542701,0.6427538333531768,6.45875624411814,3.3083260320056747,3.35666279624856,3.3083260320056747,1
30,1765573581.33,-16.806196558580144,-21.07655341276236,0.3076777950289442,7.20522887765213,4.019076110855456,2.6426621901806264,2.6426621901806264,1
