sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
1,1732072348488,0.005546521861106157,0.009965450502932072,0.00884432252496481,0.0017009826842695475,-0.00759359123185277,0.004094167612493038,-0.001160381711088121,0.00593235669657588,-0.007886575534939766,1.6621324903098866e-05,-0.002631847746670246,0.004550776444375515,-0.009369230829179287,0.009974141605198383,0.0003024553880095482,0.013677829876542091
2,1732072348727,0.00392191531136632,0.007046636659651995,0.006253858096897602,0.001202804152853787,-0.00536942295730114,0.002894953591749072,-0.0008205149206332862,0.004194751847535372,-0.0055765979923307896,1.17527579277521e-05,-0.0018609794788062572,0.003217854769900441,-0.006625026930123568,0.007052782457321882,0.00021387776359915733,0.009671671316027641
3,1732072348733,0.0032021382357925177,0.005753553006798029,0.005106225144118071,0.0009821230778470635,-0.004384038038551807,0.0023636375553905964,-0.0006699493387714028,0.0034249224700033665,-0.004553201608359814,9.595686606189702e-06,-0.0015194595325738192,0.0026273259427398443,-0.00540928402915597,0.0057585714384913445,0.00017464370466768742,0.007896866649389267
4,1732072348738,0.0027730450965464115,0.004982721526175737,0.0044220928102731705,0.0008505794103257358,-0.0033277201000601053,0.008290608413517475,0.0015977309085428715,0.006007432006299496,-0.003943120129406452,8.30972749099601e-06,-0.0013158677611500025,0.002275291830301285,-0.004472063388675451,0.0037123472429811954,-0.0003798580728471279,0.005787251982837915
5,1732072348743,0.0024802053812891245,0.00445668026804924,0.003955214284360409,0.0007608145824633539,-0.0029762836638838053,0.007415155880153179,0.001429033000022173,0.005373054649680853,-0.0035267702769488096,7.432093752868241e-06,-0.001176926656626165,0.0020350462291389704,-0.003999912645667791,0.003320427145808935,-0.0003397427499294281,0.0051762619987130165
6,1732072348747,0.0022640316747128963,0.004068372305482626,0.0036105760373175144,0.0006945563945919275,-0.0027168523520231247,0.006768917664885521,0.0013045076048001647,0.00490476842969656,-0.0032194273080676794,6.784214747312944e-06,-0.0010743625462055206,0.0018577006412670016,-0.00365138310007751,0.003031122963875532,-0.00031013006810098886,0.004725245293229818
7,1732072348752,0.0020960152614861727,0.0037665795534849167,0.003342721611261368,0.0006430631037801504,-0.0025152135640382767,0.0062666540034115314,0.0012077270075678825,0.0045408084988594055,-0.0029805556405335665,6.280655725277029e-06,-0.0009946480859071016,0.0017198650166392326,-0.003380503971129656,0.0028062753845006227,-0.00028711429331451654,0.004374713636934757
8,1732072348760,0.001960576046258211,0.0035233113449066877,0.0031268091406673193,0.0006015576655045152,-0.041719984263181686,0.10716572403907776,0.01751795969903469,0.07896396517753601,-0.0027880026027560234,5.87472732149763e-06,-0.0009303906699642539,0.0016087564872577786,-0.007687212899327278,-0.0012855497188866138,-0.004486381076276302,0.00452665938064456
9,1732072348764,0.0018483857857063413,0.0033218087628483772,0.0029479635413736105,0.0005671796971000731,-0.03932856768369675,0.10097035020589828,0.016495976597070694,0.07440803945064545,-0.002628505229949951,5.538473033084301e-06,-0.000877164420671761,0.001516721909865737,-0.007247553206980228,-0.0012120212195441127,-0.0042297872714698315,0.004267765674740076
10,1732072348768,0.0017534727230668068,0.003151343436911702,0.002796664834022522,0.0005380983930081129,-0.03730593994259834,0.09573812782764435,0.01563422940671444,0.0705590695142746,-0.002493572421371937,5.253997642284958e-06,-0.0008321356726810336,0.0014388618292286992,-0.0068756164982914925,-0.0011498178355395794,-0.004012716934084892,0.004048751201480627
