 , yolo,30 , attn,0 , depth,17 , fuse,2 , total,52
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,17 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,51
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,30 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,33 , attn,0 , depth,15 , fuse,3 , total,53
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,14 , fuse,3 , total,50
 , yolo,30 , attn,0 , depth,14 , fuse,2 , total,49
 , yolo,32 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,32 , attn,0 , depth,14 , fuse,3 , total,51
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,52
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,51
 , yolo,50 , attn,0 , depth,20 , fuse,4 , total,77
 , yolo,28 , attn,0 , depth,15 , fuse,3 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,51
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,51 , attn,0 , depth,17 , fuse,3 , total,74
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,51
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,27 , attn,0 , depth,15 , fuse,2 , total,47
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,29 , attn,9 , depth,15 , fuse,3 , total,58
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,14 , fuse,3 , total,49
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,51
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,51
 , yolo,31 , attn,0 , depth,14 , fuse,3 , total,51
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,27 , attn,0 , depth,15 , fuse,2 , total,47
 , yolo,26 , attn,0 , depth,14 , fuse,2 , total,45
 , yolo,26 , attn,0 , depth,14 , fuse,2 , total,45
 , yolo,26 , attn,0 , depth,14 , fuse,2 , total,45
 , yolo,31 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,27 , attn,0 , depth,15 , fuse,2 , total,46
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,14 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,31 , attn,0 , depth,14 , fuse,3 , total,51
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,28 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,27 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,31 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,30 , attn,0 , depth,14 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,40 , attn,0 , depth,21 , fuse,3 , total,66
 , yolo,46 , attn,0 , depth,16 , fuse,2 , total,67
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,31 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,28 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,31 , attn,0 , depth,14 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,33 , attn,0 , depth,15 , fuse,2 , total,53
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,14 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,47
 , yolo,31 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,28 , attn,0 , depth,14 , fuse,3 , total,48
 , yolo,30 , attn,0 , depth,14 , fuse,2 , total,49
 , yolo,29 , attn,8 , depth,15 , fuse,3 , total,58
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,39 , attn,0 , depth,21 , fuse,3 , total,66
 , yolo,28 , attn,0 , depth,15 , fuse,3 , total,48
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,51
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,31 , attn,0 , depth,16 , fuse,2 , total,51
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,46 , attn,0 , depth,20 , fuse,4 , total,73
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,30 , attn,0 , depth,14 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,31 , attn,0 , depth,16 , fuse,3 , total,53
 , yolo,30 , attn,0 , depth,14 , fuse,2 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,45 , attn,0 , depth,23 , fuse,4 , total,75
 , yolo,28 , attn,0 , depth,16 , fuse,2 , total,48
 , yolo,29 , attn,0 , depth,16 , fuse,2 , total,50
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,50
 , yolo,29 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,31 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,39 , attn,0 , depth,20 , fuse,2 , total,63
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,29 , attn,0 , depth,14 , fuse,2 , total,47
 , yolo,28 , attn,0 , depth,15 , fuse,2 , total,48
 , yolo,27 , attn,0 , depth,15 , fuse,3 , total,47
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,49
 , yolo,30 , attn,0 , depth,15 , fuse,2 , total,49
 , yolo,56 , attn,0 , depth,23 , fuse,4 , total,85
 , yolo,34 , attn,0 , depth,18 , fuse,4 , total,59
 , yolo,38 , attn,0 , depth,16 , fuse,4 , total,61
 , yolo,51 , attn,0 , depth,19 , fuse,3 , total,76
 , yolo,55 , attn,0 , depth,18 , fuse,3 , total,79
 , yolo,50 , attn,0 , depth,21 , fuse,4 , total,78
 , yolo,59 , attn,0 , depth,19 , fuse,3 , total,85
 , yolo,47 , attn,0 , depth,20 , fuse,3 , total,73
 , yolo,53 , attn,0 , depth,19 , fuse,3 , total,78
 , yolo,51 , attn,0 , depth,19 , fuse,3 , total,76
 , yolo,59 , attn,0 , depth,20 , fuse,4 , total,86
 , yolo,49 , attn,0 , depth,19 , fuse,3 , total,74
 , yolo,55 , attn,0 , depth,19 , fuse,3 , total,80
 , yolo,38 , attn,0 , depth,18 , fuse,4 , total,62
 , yolo,36 , attn,0 , depth,19 , fuse,3 , total,61
 , yolo,41 , attn,0 , depth,23 , fuse,3 , total,71
 , yolo,53 , attn,0 , depth,18 , fuse,4 , total,78
 , yolo,39 , attn,0 , depth,18 , fuse,3 , total,62
 , yolo,51 , attn,0 , depth,21 , fuse,3 , total,79
 , yolo,55 , attn,0 , depth,20 , fuse,3 , total,81
 , yolo,39 , attn,0 , depth,22 , fuse,3 , total,67
 , yolo,56 , attn,0 , depth,18 , fuse,2 , total,79
 , yolo,51 , attn,0 , depth,21 , fuse,3 , total,78
 , yolo,53 , attn,0 , depth,20 , fuse,3 , total,80
 , yolo,52 , attn,0 , depth,23 , fuse,3 , total,81
 , yolo,52 , attn,0 , depth,19 , fuse,3 , total,76
 , yolo,46 , attn,0 , depth,20 , fuse,3 , total,72
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,74
 , yolo,55 , attn,0 , depth,17 , fuse,3 , total,78
 , yolo,51 , attn,0 , depth,21 , fuse,2 , total,78
 , yolo,44 , attn,0 , depth,19 , fuse,3 , total,69
 , yolo,56 , attn,0 , depth,20 , fuse,3 , total,82
 , yolo,59 , attn,0 , depth,18 , fuse,3 , total,83
 , yolo,54 , attn,0 , depth,18 , fuse,3 , total,78
 , yolo,48 , attn,0 , depth,21 , fuse,3 , total,76
 , yolo,51 , attn,0 , depth,19 , fuse,2 , total,76
 , yolo,56 , attn,0 , depth,19 , fuse,3 , total,81
 , yolo,54 , attn,0 , depth,20 , fuse,5 , total,82
 , yolo,50 , attn,0 , depth,19 , fuse,3 , total,75
 , yolo,54 , attn,0 , depth,21 , fuse,3 , total,82
 , yolo,39 , attn,0 , depth,18 , fuse,2 , total,62
 , yolo,48 , attn,0 , depth,22 , fuse,4 , total,78
 , yolo,49 , attn,0 , depth,19 , fuse,3 , total,74
 , yolo,49 , attn,0 , depth,20 , fuse,4 , total,77
 , yolo,41 , attn,0 , depth,17 , fuse,3 , total,64
 , yolo,40 , attn,0 , depth,17 , fuse,3 , total,62
 , yolo,48 , attn,0 , depth,21 , fuse,3 , total,75
 , yolo,36 , attn,0 , depth,17 , fuse,3 , total,59
 , yolo,48 , attn,0 , depth,20 , fuse,3 , total,73
 , yolo,54 , attn,0 , depth,18 , fuse,3 , total,77
 , yolo,50 , attn,0 , depth,20 , fuse,3 , total,78
 , yolo,48 , attn,0 , depth,20 , fuse,3 , total,73
 , yolo,50 , attn,0 , depth,20 , fuse,3 , total,76
 , yolo,48 , attn,0 , depth,22 , fuse,3 , total,75
 , yolo,53 , attn,0 , depth,18 , fuse,3 , total,77
 , yolo,47 , attn,0 , depth,24 , fuse,3 , total,78
 , yolo,51 , attn,0 , depth,20 , fuse,3 , total,78
 , yolo,54 , attn,0 , depth,20 , fuse,4 , total,81
 , yolo,53 , attn,0 , depth,19 , fuse,3 , total,78
 , yolo,45 , attn,0 , depth,21 , fuse,4 , total,72
 , yolo,57 , attn,0 , depth,22 , fuse,3 , total,86
 , yolo,37 , attn,0 , depth,18 , fuse,4 , total,61
 , yolo,52 , attn,0 , depth,19 , fuse,3 , total,77
 , yolo,51 , attn,0 , depth,20 , fuse,3 , total,77
 , yolo,52 , attn,0 , depth,21 , fuse,3 , total,78
 , yolo,54 , attn,0 , depth,19 , fuse,3 , total,79
 , yolo,39 , attn,10 , depth,17 , fuse,4 , total,73
 , yolo,59 , attn,0 , depth,18 , fuse,3 , total,83
 , yolo,50 , attn,0 , depth,18 , fuse,2 , total,73
 , yolo,49 , attn,0 , depth,19 , fuse,5 , total,75
 , yolo,51 , attn,0 , depth,19 , fuse,4 , total,76
 , yolo,39 , attn,0 , depth,21 , fuse,2 , total,64
 , yolo,38 , attn,0 , depth,18 , fuse,3 , total,62
 , yolo,57 , attn,0 , depth,18 , fuse,3 , total,82
 , yolo,52 , attn,0 , depth,19 , fuse,3 , total,77
 , yolo,67 , attn,0 , depth,20 , fuse,4 , total,95
 , yolo,51 , attn,0 , depth,22 , fuse,4 , total,80
 , yolo,49 , attn,0 , depth,20 , fuse,4 , total,76
 , yolo,55 , attn,0 , depth,19 , fuse,4 , total,82
 , yolo,55 , attn,0 , depth,19 , fuse,4 , total,81
 , yolo,54 , attn,0 , depth,17 , fuse,4 , total,77
 , yolo,48 , attn,0 , depth,20 , fuse,3 , total,75
 , yolo,50 , attn,0 , depth,21 , fuse,3 , total,77
 , yolo,48 , attn,0 , depth,24 , fuse,5 , total,80
 , yolo,44 , attn,0 , depth,19 , fuse,3 , total,68
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,73
 , yolo,53 , attn,0 , depth,17 , fuse,4 , total,76
 , yolo,57 , attn,0 , depth,19 , fuse,3 , total,81
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,72
 , yolo,46 , attn,0 , depth,19 , fuse,3 , total,71
 , yolo,34 , attn,0 , depth,15 , fuse,4 , total,56
 , yolo,46 , attn,0 , depth,18 , fuse,3 , total,69
 , yolo,48 , attn,0 , depth,23 , fuse,3 , total,78
 , yolo,45 , attn,0 , depth,18 , fuse,3 , total,70
 , yolo,47 , attn,0 , depth,18 , fuse,3 , total,72
 , yolo,48 , attn,0 , depth,18 , fuse,3 , total,72
 , yolo,45 , attn,0 , depth,18 , fuse,3 , total,70
 , yolo,32 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,47 , attn,0 , depth,20 , fuse,2 , total,72
 , yolo,44 , attn,0 , depth,18 , fuse,3 , total,68
 , yolo,49 , attn,0 , depth,19 , fuse,3 , total,74
 , yolo,48 , attn,0 , depth,20 , fuse,3 , total,73
 , yolo,47 , attn,0 , depth,17 , fuse,3 , total,70
 , yolo,60 , attn,0 , depth,20 , fuse,3 , total,86
 , yolo,59 , attn,0 , depth,19 , fuse,3 , total,84
 , yolo,62 , attn,0 , depth,22 , fuse,4 , total,91
 , yolo,57 , attn,0 , depth,21 , fuse,3 , total,85
 , yolo,49 , attn,0 , depth,21 , fuse,3 , total,76
 , yolo,51 , attn,0 , depth,19 , fuse,4 , total,77
 , yolo,36 , attn,0 , depth,17 , fuse,4 , total,59
 , yolo,59 , attn,0 , depth,18 , fuse,4 , total,83
 , yolo,60 , attn,0 , depth,18 , fuse,3 , total,84
 , yolo,57 , attn,11 , depth,18 , fuse,4 , total,94
 , yolo,38 , attn,0 , depth,17 , fuse,5 , total,63
 , yolo,46 , attn,0 , depth,23 , fuse,3 , total,76
 , yolo,36 , attn,0 , depth,17 , fuse,4 , total,60
 , yolo,51 , attn,0 , depth,18 , fuse,4 , total,75
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,73
 , yolo,53 , attn,0 , depth,21 , fuse,3 , total,80
 , yolo,51 , attn,0 , depth,22 , fuse,3 , total,80
 , yolo,49 , attn,0 , depth,21 , fuse,3 , total,76
 , yolo,49 , attn,0 , depth,21 , fuse,3 , total,77
 , yolo,47 , attn,0 , depth,18 , fuse,3 , total,71
 , yolo,38 , attn,0 , depth,16 , fuse,3 , total,59
 , yolo,33 , attn,0 , depth,16 , fuse,3 , total,55
 , yolo,31 , attn,0 , depth,16 , fuse,4 , total,53
 , yolo,47 , attn,0 , depth,19 , fuse,2 , total,72
 , yolo,34 , attn,0 , depth,15 , fuse,3 , total,55
 , yolo,51 , attn,0 , depth,19 , fuse,3 , total,76
 , yolo,41 , attn,0 , depth,15 , fuse,3 , total,61
 , yolo,35 , attn,0 , depth,16 , fuse,3 , total,57
 , yolo,49 , attn,0 , depth,19 , fuse,3 , total,75
 , yolo,33 , attn,0 , depth,16 , fuse,3 , total,55
 , yolo,33 , attn,0 , depth,19 , fuse,2 , total,58
 , yolo,36 , attn,0 , depth,16 , fuse,4 , total,58
 , yolo,52 , attn,11 , depth,17 , fuse,3 , total,86
 , yolo,46 , attn,0 , depth,18 , fuse,3 , total,69
 , yolo,31 , attn,0 , depth,16 , fuse,4 , total,54
 , yolo,32 , attn,0 , depth,16 , fuse,2 , total,53
 , yolo,45 , attn,0 , depth,19 , fuse,3 , total,70
 , yolo,45 , attn,0 , depth,19 , fuse,3 , total,69
 , yolo,46 , attn,0 , depth,19 , fuse,3 , total,71
 , yolo,44 , attn,0 , depth,18 , fuse,3 , total,68
 , yolo,46 , attn,0 , depth,18 , fuse,2 , total,68
 , yolo,33 , attn,0 , depth,16 , fuse,5 , total,57
 , yolo,32 , attn,0 , depth,16 , fuse,3 , total,53
 , yolo,52 , attn,0 , depth,19 , fuse,3 , total,77
 , yolo,50 , attn,0 , depth,16 , fuse,3 , total,71
 , yolo,38 , attn,0 , depth,16 , fuse,3 , total,59
 , yolo,49 , attn,0 , depth,21 , fuse,3 , total,76
 , yolo,49 , attn,0 , depth,15 , fuse,3 , total,70
 , yolo,56 , attn,0 , depth,18 , fuse,3 , total,80
 , yolo,51 , attn,0 , depth,17 , fuse,3 , total,74
 , yolo,44 , attn,0 , depth,17 , fuse,3 , total,68
 , yolo,47 , attn,0 , depth,18 , fuse,2 , total,70
 , yolo,48 , attn,0 , depth,20 , fuse,4 , total,75
 , yolo,34 , attn,0 , depth,16 , fuse,3 , total,55
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,72
 , yolo,49 , attn,0 , depth,18 , fuse,2 , total,73
 , yolo,45 , attn,0 , depth,19 , fuse,3 , total,70
 , yolo,50 , attn,0 , depth,19 , fuse,3 , total,74
 , yolo,55 , attn,0 , depth,20 , fuse,3 , total,82
 , yolo,43 , attn,0 , depth,17 , fuse,3 , total,66
 , yolo,47 , attn,0 , depth,18 , fuse,3 , total,71
 , yolo,34 , attn,0 , depth,16 , fuse,4 , total,56
 , yolo,47 , attn,0 , depth,19 , fuse,3 , total,72
 , yolo,34 , attn,0 , depth,17 , fuse,2 , total,56
 , yolo,32 , attn,0 , depth,15 , fuse,3 , total,52
 , yolo,46 , attn,0 , depth,18 , fuse,3 , total,70
 , yolo,45 , attn,0 , depth,18 , fuse,3 , total,70
 , yolo,48 , attn,0 , depth,18 , fuse,3 , total,71
 , yolo,44 , attn,0 , depth,19 , fuse,3 , total,69
 , yolo,53 , attn,0 , depth,18 , fuse,3 , total,77
 , yolo,46 , attn,0 , depth,18 , fuse,3 , total,69
 , yolo,50 , attn,0 , depth,21 , fuse,4 , total,79
 , yolo,40 , attn,0 , depth,22 , fuse,3 , total,68
 , yolo,33 , attn,0 , depth,15 , fuse,3 , total,54
 , yolo,34 , attn,0 , depth,15 , fuse,3 , total,54
 , yolo,51 , attn,0 , depth,16 , fuse,3 , total,73
 , yolo,47 , attn,0 , depth,18 , fuse,3 , total,71
 , yolo,48 , attn,0 , depth,18 , fuse,3 , total,72
 , yolo,32 , attn,0 , depth,15 , fuse,3 , total,53
 , yolo,31 , attn,0 , depth,16 , fuse,4 , total,52
 , yolo,49 , attn,0 , depth,18 , fuse,2 , total,72
 , yolo,47 , attn,0 , depth,20 , fuse,3 , total,73
 , yolo,51 , attn,0 , depth,18 , fuse,3 , total,75
 , yolo,52 , attn,0 , depth,17 , fuse,3 , total,75
 , yolo,45 , attn,0 , depth,19 , fuse,3 , total,69
 , yolo,47 , attn,0 , depth,18 , fuse,2 , total,70
 , yolo,47 , attn,0 , depth,18 , fuse,2 , total,70
 , yolo,44 , attn,0 , depth,18 , fuse,3 , total,68
 , yolo,47 , attn,0 , depth,18 , fuse,3 , total,71
 , yolo,48 , attn,0 , depth,20 , fuse,4 , total,75
 , yolo,44 , attn,0 , depth,19 , fuse,4 , total,70
 , yolo,52 , attn,0 , depth,18 , fuse,3 , total,76
 , yolo,46 , attn,0 , depth,20 , fuse,3 , total,71
 , yolo,33 , attn,0 , depth,16 , fuse,3 , total,55
 , yolo,56 , attn,0 , depth,18 , fuse,4 , total,80
 , yolo,53 , attn,0 , depth,19 , fuse,4 , total,79
 , yolo,51 , attn,0 , depth,19 , fuse,4 , total,77
 , yolo,50 , attn,0 , depth,16 , fuse,3 , total,72
 , yolo,33 , attn,0 , depth,17 , fuse,3 , total,57
 , yolo,33 , attn,0 , depth,15 , fuse,3 , total,54
 , yolo,48 , attn,0 , depth,19 , fuse,3 , total,73
 , yolo,48 , attn,0 , depth,17 , fuse,3 , total,71
 , yolo,35 , attn,0 , depth,15 , fuse,3 , total,56
 , yolo,32 , attn,0 , depth,15 , fuse,4 , total,54
 , yolo,36 , attn,0 , depth,17 , fuse,3 , total,59
 , yolo,48 , attn,0 , depth,20 , fuse,2 , total,73
 , yolo,49 , attn,0 , depth,19 , fuse,2 , total,74
 , yolo,45 , attn,0 , depth,19 , fuse,3 , total,70
 , yolo,56 , attn,0 , depth,18 , fuse,3 , total,80
 , yolo,47 , attn,0 , depth,18 , fuse,2 , total,71
 , yolo,34 , attn,0 , depth,16 , fuse,3 , total,56
 , yolo,38 , attn,0 , depth,16 , fuse,3 , total,60
 , yolo,46 , attn,0 , depth,18 , fuse,3 , total,70
 , yolo,45 , attn,0 , depth,17 , fuse,3 , total,68
 , yolo,48 , attn,0 , depth,18 , fuse,2 , total,72
 , yolo,29 , attn,0 , depth,15 , fuse,3 , total,50
 , yolo,47 , attn,0 , depth,19 , fuse,3 , total,72
 , yolo,55 , attn,0 , depth,19 , fuse,3 , total,79
 , yolo,46 , attn,0 , depth,19 , fuse,3 , total,71
 , yolo,38 , attn,0 , depth,17 , fuse,3 , total,60
 , yolo,36 , attn,0 , depth,16 , fuse,3 , total,58
 , yolo,48 , attn,0 , depth,17 , fuse,3 , total,71
 , yolo,45 , attn,0 , depth,19 , fuse,4 , total,72
 , yolo,32 , attn,0 , depth,18 , fuse,3 , total,56
 , yolo,54 , attn,0 , depth,18 , fuse,3 , total,77
 , yolo,32 , attn,0 , depth,16 , fuse,4 , total,54
 , yolo,44 , attn,0 , depth,19 , fuse,4 , total,69
 , yolo,46 , attn,0 , depth,18 , fuse,2 , total,69
 , yolo,33 , attn,0 , depth,15 , fuse,3 , total,54
