Timestamp,Total Collisions,Smoothness of Route,Obstacle Clearance
1730059437.650058918,0,0,1.377727
1730059437.724004498,0,39.31490533026573,1.3788158
1730059437.824811037,0,89.07311000389724,1.3795841
1730059437.930639733,0,138.3461328133535,1.3831406
1730059438.28063548,0,189.2532732701342,1.3868108
1730059438.124116336,0,239.12971771457143,1.389202
1730059438.235633387,0,288.1564362546694,1.390702
1730059438.337893609,0,335.98909934444544,1.3929396
1730059438.443636934,0,385.0033917086841,1.3948365
1730059438.547193402,0,434.54465204664507,1.3965234
1730059438.649842047,0,483.57600136393256,1.3985138
1730059438.753612549,0,532.6094293552279,1.4005988
1730059438.862142783,0,588.7734267655421,1.4046046
1730059438.968913657,0,637.9034005882052,1.406829
1730059439.75446883,0,687.0322057473517,1.4101226
1730059439.184090962,0,737.1358104310036,1.4131595
1730059439.297587858,0,787.8762289812461,1.4153676
1730059439.405837152,0,834.5284805180654,1.4181529
1730059439.527937654,0,893.6314933152618,1.4212345
1730059439.618978144,0,934.4659441030522,1.4243191
1730059439.723296519,0,990.9489225970497,1.4257213
1730059439.825370049,0,1043.4175060851237,1.4271501
1730059439.926097238,0,1092.6318214723492,1.428331
1730059440.24032329,0,1132.0591547771537,1.429046
1730059440.129050004,0,1191.109709121819,1.4296908
1730059440.227128966,0,1230.4523707920796,1.4301596
1730059440.328078144,0,1282.6373635014602,1.4327062
1730059440.426685072,0,1331.7893429160372,1.4327782
1730059440.528533677,0,1377.2259023418421,1.4315333
1730059440.627365099,0,1426.2032637985897,1.4313056
1730059440.728035731,0,1477.743979273046,1.4356462
1730059440.827083321,0,1527.6052445166094,1.4404627
1730059440.931161784,0,1584.062017637396,1.4459969
1730059441.30214363,0,1635.4893479960997,1.450757
1730059441.127720654,0,1691.493263703312,1.4541187
1730059441.231931898,0,1740.5060173103036,1.456504
1730059441.332345686,0,1790.7540270026248,1.4582324
1730059441.428869493,0,1839.7948921281832,1.4615597
1730059441.533073793,0,1886.319139449014,1.4655168
1730059441.636970975,0,1935.175522398628,1.4699875
1730059441.740217227,0,1981.6018465371915,1.4738584
1730059441.841771557,0,2030.5784265031434,1.4800017
1730059441.944481318,0,2073.7712382690565,1.4856979
1730059442.46722755,0,2119.380938856188,1.4909028
1730059442.157824471,0,2175.3062768833533,1.4942929
1730059442.264576069,0,2224.379932109423,1.4995015
1730059442.372042515,0,2270.9080262391944,1.5040281
1730059442.481149738,0,2320.0938852072645,1.505741
1730059442.597753878,0,2369.555576399383,1.5045836
1730059442.714497912,0,2420.0828987014634,1.5044869
1730059442.823626295,0,2469.1140489088907,1.5072256
1730059442.947657540,0,2528.0020004156636,1.5097158
1730059443.41591861,0,2581.584005338221,1.5134377
1730059443.149164057,0,2630.6405874519446,1.5152504
1730059443.252139128,0,2676.2608553797018,1.519364
1730059443.343773969,0,2726.3493944684037,1.5224935
1730059443.444202044,0,2772.9332834151146,1.5250541
1730059443.543032454,0,2810.8648736128835,1.5268172
1730059443.653301178,0,2869.7482135803934,1.5285128
1730059443.751838696,0,2909.001094479103,1.5298918
1730059443.860253642,0,2978.734162702595,1.5358082
1730059443.952911664,0,3018.4959296413795,1.5409278
1730059444.53075630,0,3068.880856744636,1.5472488
1730059444.151827141,0,3115.952269688494,1.5533516
1730059444.252763134,0,3164.778418662749,1.5557762
1730059444.360177944,0,3226.0749903113324,1.5594795
1730059444.462651067,0,3275.4037634756455,1.5634815
1730059444.557255703,0,3314.987215257769,1.5685891
1730059444.655387204,0,3372.6688103542137,1.5773935
1730059444.757703782,0,3421.331037527379,1.5867132
1730059444.857563654,0,3471.5743090613432,1.5929344
1730059444.965456155,0,3520.6635210292725,1.5969269
1730059445.65589213,0,3569.777742693127,1.5986369
1730059445.173787942,0,3621.6854574094855,1.5998923
